anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
CENTRAL VENDAS,60m²,,,Parque da Barragem Setor 09,1,Águas Lindas de Goiás,1054587782,,2022-07-06,,Quadra 70 Conjunto B,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-01-rua-da-br-em-frente-o-shopping-de-aguas-lindas-setor-09-com-garagem-1054587782,,R$ 17.900,,
Rael,0m²,,,Centro,5 ou mais,Luziânia,741025692,,2022-07-06,,Rua Benjamin Roriz,5 ou mais,,5 ou mais,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/venda-de-hotel-no-centro-de-luziania-go-741025692,,R$ 5.000.000,,
Leonardo Rizzo Participações Imobiliárias - LTDA,58m²,,,Valparaiso I - Etapa A,1,Valparaíso de Goiás,995046499,,2022-07-06,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/valparaiso-de-goias-apartamento-padrao-etapa-a-995046499,R$ 0,R$ 150.000,R$ 0,
claudio gomes,55m²,,,Parque Nova Friburgo B,1,Cidade Ocidental,1054606299,,2022-07-06,,Quadra 9,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-13-mil-1054606299,R$ 1,R$ 13.000,R$ 1,
Guilherme,45m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1054582825,,2022-07-06,,"Rua 8 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/quitado-apt-2qts-3-andar-cond-bello-solare-valparaiso-go-ao-lado-da-br-040-1054582825,R$ 190,R$ 100.000,R$ 140,
G-TAVARES IMÓVEIS,47m²,,,Parque das Cachoeiras,2,Valparaíso de Goiás,1028879446,,2022-07-06,,Conjunto Residencial 7 Condomínio 1 Bloco B,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-quitado-2-quartos-e-2-banheiros-de-frente-ao-shopping-sul-do-valparaiso-1028879446,R$ 0,R$ 116.500,R$ 0,
claudio cruz,55m²,,,Parque Nova Friburgo B,1,Cidade Ocidental,1054614388,,2022-07-06,,Quadra 29,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-13-mil-1054614388,R$ 1,R$ 13.000,R$ 1,
Lidiane,,,,Setor Norte Maravilha,1,Luziânia,1054613157,,2022-07-06,,Rua Gelmires Reis,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-augio-de-apto-25-000-1054613157,R$ 95,R$ 25.000,,
Confira outras opções em meu site Gabi Silva Imóveis,50m²,,,Ypiranga,2,Valparaíso de Goiás,1054615205,,2022-07-06,,Quadra 4 Chácara 66,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-valparaiso-varandas-ii-1054615205,R$ 0,R$ 26.999,R$ 0,
VENDAS2022,,,,Mansões Pôr do Sol,1,Águas Lindas de Goiás,1052716020,,2022-07-06,,Quadra QB 26,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-agio-apt-2-quartos-por-do-sol-1052716020,,R$ 14.000,,
Maria ,42m²,,,Mansões Recreio Mossoró,1,Cidade Ocidental,1054284851,,2022-07-06,,Quadra 6,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-ap-1054284851,R$ 85,R$ 4.000,R$ 148,
Face Consultoria e Assessoria Imobiliaria LTDA,66m²,,,Centro,1,Luziânia,1038854304,,2022-07-06,,Rua do Comércio (Comendador Germano Roriz),,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-a-venda-no-jardim-inga-proximo-ao-hospital-e-escola-1038854304,R$ 0,R$ 135.000,R$ 0,
Reginaldo da Silva,45m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1029331227,,2022-07-06,,"Rua 8 (Quadras 33,34,37,38)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/rds-vende-apt-45m-2-quartos-com-suite-res-belle-stella-1029331227,R$ 0,R$ 100.000,R$ 0,
FCA IMOBILIÁRIA,69m²,,,Jardim Ana Beatriz I,1,Santo Antônio do Descoberto,1035339800,,2022-07-06,,Quadra 45,,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1035339800,R$ 0,R$ 78.751,R$ 0,
FCA IMOBILIÁRIA,52m²,,,Mansões Ilha Bela,1,Águas Lindas de Goiás,1037093190,,2022-07-06,,Quadra 3,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-aguas-lindas-de-goias-go-1037093190,R$ 0,R$ 64.676,R$ 0,
CASA BELLA IMÓVEIS,46m²,,,Cidade Jardins,1,Valparaíso de Goiás,1046803544,,2022-07-06,,Quadra QC 05 Bloco 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/lindo-apto-com-cozinha-planejada-box-teto-rebaixado-com-lampadas-de-led-1046803544,R$ 0,R$ 35.000,R$ 0,
André L. C. Nascimento,70m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1045960490,,2022-07-06,,Conjunto Residencial 5 Condomínio 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apt-terreo-com-quintal-parque-clube-1-1045960490,R$ 300,R$ 150.000,R$ 0,
NEGÓCIOS-DF,0m²,,,Mansões Recreio Mossoró,1,Cidade Ocidental,1000399704,,2022-07-06,,Quadra 5,0,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-a-g-i-o-de-c-a-s-a-apt-terreo-ou-f-i-a-t-uno-1000399704,,R$ 40.000,,
glaucioandrade.corretorlps,,,,Jardim Brasília,3,Águas Lindas de Goiás,1054399073,,2022-07-06,,Quadra 27,,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/linda-cobertura-com-3-quartos-e-3-banheiros-1054399073,,R$ 360.000,,
San ,,,,Parque Esplanada II,2,Valparaíso de Goiás,1054400620,,2022-07-06,,"Rua 8 (Quadras 31,32,35,36)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-terreo-condominio-belle-luna-1054400620,R$ 300,R$ 50.000,,
G-TAVARES IMÓVEIS,44m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1020440998,,2022-07-06,,Conjunto Residencial 5 Condomínio 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-quitado-2-quartos-proximo-ao-shopping-sul-1020440998,R$ 0,R$ 150.000,R$ 0,
Dream House Imóveis,55m²,,,Ypiranga,1,Valparaíso de Goiás,951487278,,2022-07-06,,Chácara 34 Quadra E,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-varandas-clube-i-valparaiso-terreo-com-area-fundo-aceita-veiculo-951487278,R$ 160,R$ 40.000,,
Face Consultoria e Assessoria Imobiliaria LTDA,66m²,,,Jardim Oriente,1,Valparaíso de Goiás,1036925723,,2022-07-06,,"Rua 11 (Quadras 14,15,25,26)",,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/compre-seu-ape-no-valparaiso-e-mude-em-ate-30dias-pelo-pcva-1036925723,R$ 0,R$ 140.000,R$ 0,
GILBERTO DA SILVA,80m²,,,Ypiranga,1,Valparaíso de Goiás,1050672619,,2022-07-06,,Quadra 1,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vd-agio-apt-2qts-terreo-com-area-lateral-cond-varanda-iii-ypiranga-val-i-nao-exijo-1050672619,R$ 180,R$ 35.900,R$ 170,
Márcia Nascimento Freitas,70m²,,,Parque da Barragem Setor 01,1,Águas Lindas de Goiás,1054425502,,2022-07-06,,Quadra 48 Conjunto B,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamentos-2-quartos-setor-1-aguas-lindas-go-1054425502,R$ 0,R$ 145.000,R$ 0,
Cláudio,47m²,,,Loteamento Lunabel 3,1,Novo Gama,1054138575,,2022-07-05,,Quadra 9,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-barato-ceu-azul-30mil-1054138575,R$ 0,R$ 30.000,R$ 0,
Jorge,,,,Ypiranga,1,Valparaíso de Goiás,1054145605,,2022-07-05,,Rua Marajó,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/ap-valparaiso-1054145605,R$ 136,R$ 35,R$ 250,
Magalhães,48m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1054147625,,2022-07-05,,"Rua 9 (Quadras 37,38,41)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-barato-oportunidade-1054147625,R$ 90,R$ 15.000,,
Márcia Nascimento Freitas,80m²,,,Parque da Barragem Setor 01,1,Águas Lindas de Goiás,1054155515,,2022-07-05,,Quadra 47 Conjunto A,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamentos-3-quartos-c-suite-aguas-lindas-go-1054155515,R$ 0,R$ 160.000,R$ 0,
Sr. Gervasio Bifano,48m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1054157597,,2022-07-05,,Conjunto Residencial 5 Condomínio 1 Bloco 2B,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vdo-apt-6-and-condominio-parque-clube-1-valparaiso-1054157597,R$ 246,R$ 123.000,,
Confira outras opções em meu site Gabi Silva Imóveis,50m²,,,Ypiranga,2,Valparaíso de Goiás,1054161248,,2022-07-05,,Quadra 4 Chácara 55,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-valparaiso-varandas-ii-1054161248,R$ 0,R$ 26.999,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,50m²,,,Ypiranga,1,Valparaíso de Goiás,1054161256,,2022-07-05,,Quadra 4 Chácara 55,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-valparaiso-varandas-ii-1054161256,R$ 0,R$ 26.999,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,47m²,,,Cidade Jardins,1,Valparaíso de Goiás,1054163329,,2022-07-05,,Quadra QC 01 Conjunto A Bloco 7,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1054163329,R$ 0,R$ 33.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,47m²,,,Cidade Jardins,1,Valparaíso de Goiás,1054168128,,2022-07-05,,Quadra QC 01 Conjunto A Bloco 7,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1054168128,R$ 0,R$ 33.000,R$ 0,
RONALDO JÚNIOR,44m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1052077081,,2022-07-05,,"Avenida Marginal (Q 39,42,45,48,50,52,54 a 56,58)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-no-condominio-belle-horizonte-1052077081,R$ 0,R$ 90.000,R$ 0,
Shirley Fernandes Corretora de Imóveis,45m²,,,Parque Esplanada II,2,Valparaíso de Goiás,1048933558,,2022-07-05,,"Rua 8 (Quadras 31,32,35,36)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-terreo-2-qts-c-suite-reformado-e-planejado-bello-valle-1048933558,R$ 350,R$ 115.000,,
JOAO ANDRADE,61m²,,,Mansões Village,1,Águas Lindas de Goiás,1020498236,,2022-07-05,,Quadra 19,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/2-quartos-61m2-setor-mansoes-village-aguas-lindas-go-1020498236,R$ 80.000,R$ 125.000,R$ 200,
Joaquim Barbosa da Silva,45m²,,,Núcleo Habitacional Novo Gama,1,Novo Gama,1048976975,,2022-07-05,,Condomínio Parque Lousã (Conjunto 06 HC Seção SAM 400),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-no-novo-gama-go-1048976975,R$ 0,R$ 39.000,R$ 0,
G-TAVARES IMÓVEIS,48m²,,,Parque das Cachoeiras,2,Valparaíso de Goiás,1041978448,,2022-07-05,,Conjunto Residencial 5 Condomínio 2,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-quitado-2-quartos-e-2-banheiros-de-frente-ao-shopping-sul-do-valparaiso-1041978448,R$ 0,R$ 117.000,R$ 0,
Corretor de imóveis,44m²,,,Cidade Jardins,1,Valparaíso de Goiás,1033480727,,2022-07-05,,Área Institucional 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-de-2-qtos-programa-casa-verde-amarela-entrada-parcelada-1033480727,R$ 0,R$ 143.500,R$ 0,
Conquista Imóveis,65m²,,,Valparaiso I - Etapa A,1,Valparaíso de Goiás,1048939018,,2022-07-05,,Quadra 1,,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apt-vila-do-sol-valparaiso-1048939018,R$ 180,R$ 55.000,R$ 250,
Celenita,62m²,,,Parque Esplanada III,1,Valparaíso de Goiás,1053903085,,2022-07-05,,Quadra 32,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/lindo-apartamento-1053903085,R$ 160,R$ 190.000,R$ 215,
Leonardo Rizzo Participações Imobiliárias - LTDA,44m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,996955750,,2022-07-05,,Conjunto Residencial 5 Condomínio 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/valparaiso-de-goias-apartamento-padrao-parque-das-cachoeiras-996955750,R$ 0,R$ 105.000,R$ 0,
NEGÓCIOS-DF,0m²,,,Valparaiso I - Etapa C,3,Valparaíso de Goiás,921702187,,2022-07-05,,Quadra 23,0,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/t-r-o-c-o--tudo-aqui-por-agio-de-casa-apt-terreo-ou-f-i-a-t-uno-921702187,,R$ 40.000,,
thaiaracp,,,,Parque do Ipê,1,Valparaíso de Goiás,1053920110,,2022-07-05,,Rua Varandas (Residencial Meridian),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-lindo-apartamento-28-000-1053920110,R$ 100,R$ 28.000,,
Corretor de imóveis,140m²,,,Mansões Pôr do Sol,2,Águas Lindas de Goiás,1022419615,,2022-07-05,,Quadra QB 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/duplex-2-quartos-proximo-ao-shopping-1022419615,R$ 0,R$ 150.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,47m²,,,Cidade Jardins,1,Valparaíso de Goiás,1053940026,,2022-07-05,,Quadra QC 01 Conjunto A Bloco 6,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1053940026,R$ 0,R$ 33.000,R$ 0,
JOSÉ DOS SANTOS ,80m²,,,Jardim do Ingá,2,Luziânia,1053942086,,2022-07-05,,Rua Casper Líbero,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/jardim-inga-go-1053942086,R$ 0,R$ 150.000,R$ 180,
Center Park Imobiliária,60m²,,,Jardim Céu Azul,1,Valparaíso de Goiás,1020036651,,2022-07-05,,Rua 5 (Quadras 04 e 05),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/melhor-condominio-residencial-de-valparaiso-1020036651,R$ 0,R$ 120.000,R$ 0,
jackelinemoura0809,,,,Ypiranga,1,Valparaíso de Goiás,1053946691,,2022-07-05,,Rua Saia Velha,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/oportunidade-unica-1053946691,,R$ 32.000,,
André L. C. Nascimento,44m²,,,Setor de Chácaras Anhangüera B,1,Valparaíso de Goiás,1004768813,,2022-07-05,,Quadra 28,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-bella-vitta-clube-residence-2-terreo-1004768813,R$ 0,R$ 25.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,50m²,,,Ypiranga,2,Valparaíso de Goiás,1053949001,,2022-07-05,,Quadra 4 Chácara 62,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-valparaiso-varandas-ii-1053949001,R$ 0,R$ 26.999,R$ 0,
Souza,64m²,,,Loteamento Raquel Pimentel,1,Luziânia,1053958828,,2022-07-05,,Rua RP4,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vende-se-ou-troca-1053958828,R$ 1,R$ 38,R$ 2,
Giselle Vieira de Castro,,,,Chácaras Anhangüera,1,Valparaíso de Goiás,1053962265,,2022-07-05,,"Rua Tupinambás (Quadras 15 a 20, 36 a 40)",1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-de-2-quartos-valparaiso-1053962265,,R$ 25.000,,
Jhonatan,50m²,,,,1,Luziânia,1053965694,,2022-07-05,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apartamento-1053965694,R$ 100,R$ 30.000,,
edilson-luz,60m²,,,Ypiranga,2,Valparaíso de Goiás,1053968841,,2022-07-05,,Rua Marajó,1,,3,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-no-varanda1-tres-quaro-valparaiso-1053968841,R$ 190,R$ 175.000,R$ 200,
RONALDO JÚNIOR,56m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1053978011,,2022-07-05,,Conjunto Residencial 1 Condomínio 1 Bloco H,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-no-condominio-reserva-parque-1053978011,R$ 0,R$ 68.000,R$ 0,
G-TAVARES IMÓVEIS,10m²,,,Ypiranga,1,Valparaíso de Goiás,1037133734,,2022-07-04,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-superior-no-valparaiso-perto-do-ultrabox-no-ypiranga-1037133734,R$ 0,R$ 28.000,R$ 0,
FCA IMOBILIÁRIA,65m²,,,Jardim América II,1,Águas Lindas de Goiás,1048088480,,2022-07-04,,Quadra 6,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-aguas-lindas-de-goias-go-1048088480,R$ 0,R$ 53.269,R$ 0,
Douglas Cardoso Balzani,46m²,,,Centro,1,Luziânia,1018213819,,2022-07-04,,Rua Raquel Pimentel,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-91-3-m-2-quartos-sala-cozinha-banheiro-social-e-garagem-pra-1-carro-1018213819,R$ 0,R$ 100.000,R$ 0,
Corretor de imóveis,98m²,,,Royal Parque,1,Águas Lindas de Goiás,1022417400,,2022-07-04,,Quadra 19C,3,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-em-aguas-lindas-2-quartos-1022417400,R$ 0,R$ 145.000,R$ 0,
CASA BELLA IMÓVEIS,50m²,,,Ypiranga,1,Valparaíso de Goiás,1042428894,,2022-07-04,,Rua Ypiranga,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-com-50-metros-quadrados-com-2-quartos-em-ypiranga-valparaiso-de-g-1042428894,R$ 0,R$ 29.999,R$ 0,
Renovar Negócios Imobiliários,42m²,,,Setor Norte Maravilha,1,Luziânia,1020439903,,2022-07-04,,Rua Cora Coralina,1,,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-no-residencial-sofisticatto-luziania-go-com-42-m-1-quarto-r-125-000-00-1020439903,R$ 300,R$ 125.000,R$ 0,
Face Consultoria e Assessoria Imobiliaria LTDA,88m²,,,Valparaiso I - Etapa C,2,Valparaíso de Goiás,1049010326,,2022-07-04,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/ate-zero-de-entrada-na-sua-casa-propria-no-valparaiso-etapa-c-1049010326,R$ 0,R$ 180.000,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,50m²,,,Ypiranga,1,Valparaíso de Goiás,1053685244,,2022-07-04,,Quadra 4 Chácara 50,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-valparaiso-varandas-ii-1053685244,R$ 0,R$ 26.999,R$ 0,
FCA IMOBILIÁRIA,69m²,,,Jardim Ana Beatriz I,1,Santo Antônio do Descoberto,1029686408,,2022-07-04,,Quadra 22,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/imperdivel-venha-conhecer-os-diferenciais-compra-deste-imovel-santo-antonio-do-descober-1029686408,R$ 0,R$ 65.949,R$ 0,
Confira outras opções em meu site Gabi Silva Imóveis,47m²,,,Cidade Jardins,1,Valparaíso de Goiás,1053691725,,2022-07-04,,Quadra QC 01 Conjunto B Bloco 3,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-na-cidade-jardins-valparaiso-aceito-carro-1053691725,R$ 0,R$ 33.000,R$ 0,
G-TAVARES IMÓVEIS,10m²,,,Ypiranga,1,Valparaíso de Goiás,1020496534,,2022-07-04,,Rua Marajó,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-apartamento-terreo-no-valparaiso-perto-do-ultrabox-no-ypiranga-1020496534,R$ 0,R$ 33.500,R$ 0,
ELISANGELA SILVA,49m²,,,Valparaiso I - Etapa E,1,Valparaíso de Goiás,1048998778,,2022-07-04,,Quadra 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-de-apto-02-na-etapa-e-exige-transferencia-1048998778,R$ 200,R$ 35.000,R$ 0,
André L. C. Nascimento,90m²,,,Chácara Lourdes Meireles,1,Valparaíso de Goiás,1049066210,,2022-07-04,,Rua Amazonas,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-quitada-condominio-america-1049066210,R$ 0,R$ 180.000,R$ 0,
Gilvan Rocha,,,,Parque Esplanada III,,Valparaíso de Goiás,1053708272,,2022-07-04,,Rua 31,,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-localizado-na-br-do-valparaiso-1053708272,,R$ 130.000,,
L. B. Imobiliária,48m²,,,Parque das Cachoeiras,1,Valparaíso de Goiás,1014024123,,2022-07-04,,Conjunto Residencial 5 Condomínio 1,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apto-quitado-de-2-qts-com-suite-no-parque-clube-1-1014024123,R$ 220,R$ 117.000,R$ 0,
L. B. Imobiliária,71m²,,,Parque Esplanada III,1,Valparaíso de Goiás,968944864,,2022-07-04,,Quadra 4,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apartamento-de-2-qt-com-1-suite-perto-do-shopping-sul-em-valparaiso-de-goias-968944864,R$ 200,R$ 185.000,R$ 0,
Leonardo Rizzo Participações Imobiliárias - LTDA,43m²,,,Ypiranga,1,Valparaíso de Goiás,1019313685,,2022-07-04,,,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/valparaiso-de-goias-go-apartamento-padrao-chacaras-ypiranga-1019313685,R$ 0,R$ 115.000,R$ 0,
Center Park Imobiliária,48m²,,,Parque das Cachoeiras,2,Valparaíso de Goiás,916832805,,2022-07-04,,Conjunto Residencial 1 Condomínio 1 Bloco A,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-a-venda-c-48m-com-2-quartos-sendo-01-suite-condominio-parque-das-arvores-916832805,R$ 287,R$ 135.000,R$ 0,
PERAZZO IMÓVEIS,69m²,,,Alphaville Brasília,2,Cidade Ocidental,989324147,,2022-07-04,,Alameda Mamoré,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/lindo-apartamento-reformado-de-02-quartos-no-alphaville-por-r-440-000-00-989324147,R$ 0,R$ 440.000,R$ 0,
Israel Noleto,59m²,,,Parque Esplanada II,1,Valparaíso de Goiás,1053452827,,2022-07-04,,Rua 11 (Quadras 44 e 47),1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-2-quartos-parque-esplanada-ii-valparaiso-go-1053452827,R$ 238,R$ 130.000,,
tharcis,58m²,,,Parque Esplanada III,1,Valparaíso de Goiás,932802114,,2022-07-04,,Quadra 17,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/2-quartos-bello-cielo-so-r-109mil-aceita-fgts-932802114,R$ 180,R$ 122.000,R$ 0,
Nery do Brazil Nery do Brazil,55m²,,,Ypiranga,1,Valparaíso de Goiás,1038171763,,2022-07-04,,Rua Saia Velha,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-de-apartamento-02-quartos-nas-chacaras-ypiranga-no-valparaiso-1038171763,R$ 0,R$ 28.000,R$ 0,
RENAN,,,,Parque Estrela Dalva IX,2,Luziânia,1053471332,,2022-07-04,,Quadra 118,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-a-venda-1053471332,,R$ 25.000,,
FRANCISCO ,85m²,,,,2,Cidade Ocidental,1053472343,,2022-07-04,,,2,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-terreo-com-quintal-2-banheiros-so-9-mil-1053472343,R$ 0,R$ 9.000,R$ 150,
Simone de Sousa,,,,Parque Nápolis A,1,Cidade Ocidental,1053473625,,2022-07-04,,Quadra 51,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-agio-do-meu-apartamento-1053473625,R$ 80,,R$ 130,
THIAGO ,85m²,,,Jardim do Ingá,2,Luziânia,1053482618,,2022-07-04,,Avenida Lucena Roriz,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/agio-apartamento-jardim-inga-10-mil-de-entrada-e-restante-parcelo-na-promissoria-1053482618,R$ 0,R$ 21.000,R$ 150,
reginaldoguilherme76,48m²,,,Ypiranga,1,Valparaíso de Goiás,1053483193,,2022-07-04,,Rua Marajó,1,,2,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/vendo-apto-terreo-2-qtos-valparaiso-1-1053483193,R$ 160,R$ 175.000,,
